キャンペーンのパフォーマンス
2021年1月1日 - 2026年6月15日
時間帯,曜日,キャンペーン,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,コンバージョン,コンバージョン率,コンバージョン単価
1,木曜日,02_一般／地域,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,02_一般／地域,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／地域,1,1,100.00%,JPY,567,567,0.00,0.00%,0
1,日曜日,02_一般／リースバック-部分一致｜再々構築,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,02_一般／リースバック-部分一致｜再々構築,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック-部分一致｜再々構築,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般／リースバック-部分一致｜再々構築,0,0,0,JPY,0,0,0.00,0,0
1,木曜日,02_一般／リースバック-部分一致｜再々構築,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,02_一般／リースバック-部分一致｜再々構築,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／リースバック-部分一致｜再々構築,0,0,0,JPY,0,0,0.00,0,0
1,日曜日,02_一般／リースバック-部分一致｜再々構築 #2,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,02_一般／リースバック-部分一致｜再々構築 #2,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック-部分一致｜再々構築 #2,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般／リースバック-部分一致｜再々構築 #2,0,0,0,JPY,0,0,0.00,0,0
1,木曜日,02_一般／リースバック-部分一致｜再々構築 #2,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,02_一般／リースバック-部分一致｜再々構築 #2,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／リースバック-部分一致｜再々構築 #2,0,0,0,JPY,0,0,0.00,0,0
1,日曜日,02_一般／リースバック-部分一致｜再々構築 #3,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,02_一般／リースバック-部分一致｜再々構築 #3,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック-部分一致｜再々構築 #3,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般／リースバック-部分一致｜再々構築 #3,0,0,0,JPY,0,0,0.00,0,0
1,木曜日,02_一般／リースバック-部分一致｜再々構築 #3,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,02_一般／リースバック-部分一致｜再々構築 #3,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／リースバック-部分一致｜再々構築 #3,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,02_一般／リースバック-部分一致｜再々構築 #4,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック-部分一致｜再々構築 #4,0,0,0,JPY,0,0,0.00,0,0
1,木曜日,02_一般／リースバック-部分一致｜再々構築 #4,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,02_一般／リースバック-部分一致｜再々構築 #4,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／リースバック-部分一致｜再々構築 #4,0,0,0,JPY,0,0,0.00,0,0
1,日曜日,02_一般／リースバック-部分一致｜再々構築 #5,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,02_一般／リースバック-部分一致｜再々構築 #5,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック-部分一致｜再々構築 #5,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般／リースバック-部分一致｜再々構築 #5,0,6,0.00%,JPY,0,0,0.00,0,0
1,木曜日,02_一般／リースバック-部分一致｜再々構築 #5,1,10,10.00%,JPY,698,698,0.00,0.00%,0
1,金曜日,02_一般／リースバック-部分一致｜再々構築 #5,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／リースバック-部分一致｜再々構築 #5,0,0,0,JPY,0,0,0.00,0,0
1,日曜日,02_一般／リースバック-完全一致,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,02_一般／リースバック-完全一致,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック-完全一致,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般／リースバック-完全一致,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,02_一般／リースバック-完全一致,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／リースバック-完全一致,0,0,0,JPY,0,0,0.00,0,0
1,日曜日,L2_一般｜リースバック - LP06,2,12,16.67%,JPY,1483,2965,1.00,50.00%,2965
1,月曜日,L2_一般｜リースバック - LP06,2,39,5.13%,JPY,350,700,1.00,50.00%,700
1,火曜日,L2_一般｜リースバック - LP06,5,63,7.94%,JPY,1199,5993,1.00,20.00%,5993
1,水曜日,L2_一般｜リースバック - LP06,7,91,7.69%,JPY,1234,8641,1.00,14.29%,8641
1,木曜日,L2_一般｜リースバック - LP06,11,91,12.09%,JPY,192,2116,0.00,0.00%,0
1,金曜日,L2_一般｜リースバック - LP06,12,88,13.64%,JPY,681,8169,1.00,8.33%,8169
1,土曜日,L2_一般｜リースバック - LP06,2,8,25.00%,JPY,110,219,0.00,0.00%,0
1,日曜日,L2_一般｜リースバック - LP07,3,39,7.69%,JPY,115,345,0.00,0.00%,0
1,月曜日,L2_一般｜リースバック - LP07,4,37,10.81%,JPY,163,651,0.00,0.00%,0
1,火曜日,L2_一般｜リースバック - LP07,2,55,3.64%,JPY,282,563,0.00,0.00%,0
1,水曜日,L2_一般｜リースバック - LP07,0,10,0.00%,JPY,0,0,0.00,0,0
1,木曜日,L2_一般｜リースバック - LP07,0,2,0.00%,JPY,0,0,0.00,0,0
1,金曜日,L2_一般｜リースバック - LP07,1,4,25.00%,JPY,1720,1720,1.00,100.00%,1720
1,土曜日,L2_一般｜リースバック - LP07,0,16,0.00%,JPY,0,0,0.00,0,0
1,日曜日,L2_一般｜リースバック - new,0,10,0.00%,JPY,0,0,0.00,0,0
1,月曜日,L2_一般｜リースバック - new,0,1,0.00%,JPY,0,0,0.00,0,0
1,土曜日,L2_一般｜リースバック - new,1,8,12.50%,JPY,256,256,0.00,0.00%,0
1,土曜日,L2_一般｜リースバック - new 完全一致,0,3,0.00%,JPY,0,0,0.00,0,0
1,日曜日,02_一般／リースバック-部分一致｜福岡,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,02_一般／リースバック-部分一致｜福岡,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック-部分一致｜福岡,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般／リースバック-部分一致｜福岡,0,0,0,JPY,0,0,0.00,0,0
1,木曜日,02_一般／リースバック-部分一致｜福岡,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,02_一般／リースバック-部分一致｜福岡,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／リースバック-部分一致｜福岡,0,0,0,JPY,0,0,0.00,0,0
1,日曜日,02_一般／リースバック-部分一致｜リスタート,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,02_一般／リースバック-部分一致｜リスタート,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック-部分一致｜リスタート,2,24,8.33%,JPY,745,1490,0.00,0.00%,0
1,水曜日,02_一般／リースバック-部分一致｜リスタート,5,37,13.51%,JPY,606,3032,0.00,0.00%,0
1,木曜日,02_一般／リースバック-部分一致｜リスタート,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,02_一般／リースバック-部分一致｜リスタート,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／リースバック-部分一致｜リスタート,0,0,0,JPY,0,0,0.00,0,0
1,日曜日,02_一般／リースバック-フレーズ以上,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,02_一般／リースバック-フレーズ以上,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック-フレーズ以上,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般／リースバック-フレーズ以上,0,0,0,JPY,0,0,0.00,0,0
